image_id,label_file,class_id,class_name,x_center_norm,y_center_norm,width_norm,height_norm,x_min_norm,y_min_norm,x_max_norm,y_max_norm,x_center_px,y_center_px,width_px,height_px,image_width,image_height,bbox_area_norm
coloured_noised_diana_1_00000,..\mid_dataset\labels\coloured_noised_diana_1_00000.txt,1,diana,0.08227,0.917092,0.075255,0.079082,0.044642499999999995,0.877551,0.11989749999999999,0.9566330000000001,29.617199999999997,330.15312,27.0918,28.46952,360,360,0.00595131591
coloured_noised_diana_1_00001,..\mid_dataset\labels\coloured_noised_diana_1_00001.txt,1,diana,0.08227,0.921556,0.072704,0.072704,0.045917999999999994,0.885204,0.118622,0.9579080000000001,29.617199999999997,331.76016000000004,26.173440000000003,26.173440000000003,360,360,0.005285871616
coloured_noised_diana_1_00002,..\mid_dataset\labels\coloured_noised_diana_1_00002.txt,1,diana,0.081633,0.917092,0.07398,0.07398,0.044642999999999995,0.880102,0.118623,0.954082,29.38788,330.15312,26.632800000000003,26.632800000000003,360,360,0.0054730404
coloured_noised_diana_1_00003,..\mid_dataset\labels\coloured_noised_diana_1_00003.txt,1,diana,0.082908,0.91773,0.07398,0.075255,0.045917999999999994,0.8801025,0.119898,0.9553575000000001,29.84688,330.38280000000003,26.632800000000003,27.0918,360,360,0.005567364900000001
coloured_noised_diana_1_00004,..\mid_dataset\labels\coloured_noised_diana_1_00004.txt,1,diana,0.083546,0.918367,0.077806,0.076531,0.044642999999999995,0.8801015000000001,0.122449,0.9566325,30.076559999999997,330.61212,28.01016,27.55116,360,360,0.005954570986000001
coloured_noised_diana_1_00005,..\mid_dataset\labels\coloured_noised_diana_1_00005.txt,1,diana,0.080995,0.920918,0.075255,0.076531,0.043367499999999996,0.8826525000000001,0.11862249999999999,0.9591835,29.1582,331.53048,27.0918,27.55116,360,360,0.0057593404050000005
coloured_noised_diana_1_00006,..\mid_dataset\labels\coloured_noised_diana_1_00006.txt,1,diana,0.081633,0.919005,0.07398,0.075255,0.044642999999999995,0.8813774999999999,0.118623,0.9566325,29.38788,330.8418,26.632800000000003,27.0918,360,360,0.005567364900000001
coloured_noised_diana_1_00007,..\mid_dataset\labels\coloured_noised_diana_1_00007.txt,1,diana,0.08227,0.91773,0.072704,0.075255,0.045917999999999994,0.8801025,0.118622,0.9553575000000001,29.617199999999997,330.38280000000003,26.173440000000003,27.0918,360,360,0.005471339520000001
coloured_noised_diana_1_00008,..\mid_dataset\labels\coloured_noised_diana_1_00008.txt,1,diana,0.08227,0.91773,0.075255,0.072704,0.044642499999999995,0.881378,0.11989749999999999,0.9540820000000001,29.617199999999997,330.38280000000003,27.0918,26.173440000000003,360,360,0.005471339520000001
coloured_noised_diana_1_00009,..\mid_dataset\labels\coloured_noised_diana_1_00009.txt,1,diana,0.08227,0.91773,0.072704,0.075255,0.045917999999999994,0.8801025,0.118622,0.9553575000000001,29.617199999999997,330.38280000000003,26.173440000000003,27.0918,360,360,0.005471339520000001
coloured_noised_diana_1_00010,..\mid_dataset\labels\coloured_noised_diana_1_00010.txt,1,diana,0.08227,0.917092,0.072704,0.07398,0.045917999999999994,0.880102,0.118622,0.954082,29.617199999999997,330.15312,26.173440000000003,26.632800000000003,360,360,0.005378641920000001
coloured_noised_diana_1_00011,..\mid_dataset\labels\coloured_noised_diana_1_00011.txt,1,diana,0.081633,0.915816,0.07398,0.081633,0.044642999999999995,0.8749994999999999,0.118623,0.9566325,29.38788,329.69376,26.632800000000003,29.38788,360,360,0.00603920934
coloured_noised_diana_1_00012,..\mid_dataset\labels\coloured_noised_diana_1_00012.txt,1,diana,0.08227,0.920281,0.070153,0.075255,0.0471935,0.8826535,0.11734649999999999,0.9579085,29.617199999999997,331.30116,25.255079999999996,27.0918,360,360,0.0052793640149999994
coloured_noised_diana_1_00013,..\mid_dataset\labels\coloured_noised_diana_1_00013.txt,1,diana,0.08227,0.919643,0.070153,0.07398,0.0471935,0.882653,0.11734649999999999,0.956633,29.617199999999997,331.07148,25.255079999999996,26.632800000000003,360,360,0.00518991894
coloured_noised_diana_1_00014,..\mid_dataset\labels\coloured_noised_diana_1_00014.txt,1,diana,0.082908,0.91773,0.07398,0.080357,0.045917999999999994,0.8775515,0.119898,0.9579085,29.84688,330.38280000000003,26.632800000000003,28.92852,360,360,0.00594481086
coloured_noised_diana_1_00015,..\mid_dataset\labels\coloured_noised_diana_1_00015.txt,1,diana,0.083546,0.917092,0.075255,0.079082,0.045918499999999994,0.877551,0.12117349999999999,0.9566330000000001,30.076559999999997,330.15312,27.0918,28.46952,360,360,0.00595131591
coloured_noised_diana_1_00016,..\mid_dataset\labels\coloured_noised_diana_1_00016.txt,1,diana,0.082908,0.919005,0.07398,0.080357,0.045917999999999994,0.8788265,0.119898,0.9591835,29.84688,330.8418,26.632800000000003,28.92852,360,360,0.00594481086
coloured_noised_diana_1_00017,..\mid_dataset\labels\coloured_noised_diana_1_00017.txt,1,diana,0.083546,0.91773,0.072704,0.077806,0.04719399999999999,0.878827,0.119898,0.9566330000000001,30.076559999999997,330.38280000000003,26.173440000000003,28.01016,360,360,0.005656807424000001
coloured_noised_diana_1_00018,..\mid_dataset\labels\coloured_noised_diana_1_00018.txt,1,diana,0.080995,0.916454,0.072704,0.077806,0.044642999999999995,0.877551,0.117347,0.955357,29.1582,329.92343999999997,26.173440000000003,28.01016,360,360,0.005656807424000001
coloured_noised_diana_1_00019,..\mid_dataset\labels\coloured_noised_diana_1_00019.txt,1,diana,0.082908,0.919643,0.076531,0.076531,0.044642499999999995,0.8813775,0.12117349999999999,0.9579084999999999,29.84688,331.07148,27.55116,27.55116,360,360,0.0058569939610000005
coloured_noised_diana_1_00020,..\mid_dataset\labels\coloured_noised_diana_1_00020.txt,1,diana,0.083546,0.916454,0.077806,0.080357,0.044642999999999995,0.8762755,0.122449,0.9566325,30.076559999999997,329.92343999999997,28.01016,28.92852,360,360,0.006252256742
coloured_noised_diana_1_00021,..\mid_dataset\labels\coloured_noised_diana_1_00021.txt,1,diana,0.082908,0.918367,0.071429,0.07398,0.04719349999999999,0.8813770000000001,0.11862249999999999,0.955357,29.84688,330.61212,25.714440000000003,26.632800000000003,360,360,0.005284317420000001
coloured_noised_diana_1_00022,..\mid_dataset\labels\coloured_noised_diana_1_00022.txt,1,diana,0.081633,0.916454,0.07398,0.077806,0.044642999999999995,0.877551,0.118623,0.955357,29.38788,329.92343999999997,26.632800000000003,28.01016,360,360,0.00575608788
coloured_noised_diana_1_00023,..\mid_dataset\labels\coloured_noised_diana_1_00023.txt,1,diana,0.08227,0.918367,0.077806,0.076531,0.043366999999999996,0.8801015000000001,0.121173,0.9566325,29.617199999999997,330.61212,28.01016,27.55116,360,360,0.005954570986000001
coloured_noised_diana_1_00024,..\mid_dataset\labels\coloured_noised_diana_1_00024.txt,1,diana,0.082908,0.918367,0.076531,0.076531,0.044642499999999995,0.8801015000000001,0.12117349999999999,0.9566325,29.84688,330.61212,27.55116,27.55116,360,360,0.0058569939610000005
coloured_noised_diana_1_00025,..\mid_dataset\labels\coloured_noised_diana_1_00025.txt,1,diana,0.083546,0.917092,0.077806,0.076531,0.044642999999999995,0.8788265000000001,0.122449,0.9553575,30.076559999999997,330.15312,28.01016,27.55116,360,360,0.005954570986000001
coloured_noised_diana_1_00026,..\mid_dataset\labels\coloured_noised_diana_1_00026.txt,1,diana,0.08227,0.91773,0.077806,0.077806,0.043366999999999996,0.878827,0.121173,0.9566330000000001,29.617199999999997,330.38280000000003,28.01016,28.01016,360,360,0.006053773636
